,0,1,2,3,4,5,6,7,8,9
0,LOT 1Closed ,History of the Académie des Inscriptions et Belles-Lettres,"Count of Maurepas' copy, 1740",Estimate,"USD 1,500 - USD 2,500",Price Realised,"USD 2,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
1,LOT 2Closed ,Medals of Louis XIV,"Bound with royal arms of France, 1702",Estimate,"USD 3,000 - USD 4,000",Price Realised,"USD 10,625",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
2,LOT 3Closed ,The Coronation of Alexander II,"St Petersburg, 1856",Estimate,"USD 20,000 - USD 30,000",Price Realised,"USD 22,500",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
3,LOT 4Closed ,Charming French almanac,"Paris, 1788",Estimate,"USD 3,000 - USD 4,000",Price Realised,"USD 5,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
4,LOT 5Closed ,Books on Ancient Rome,"8 works, 1587-1759.",Estimate,"USD 2,000 - USD 4,000",Price Realised,"USD 6,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
5,LOT 6Closed ,Two works on trees,"Duhamel du Monceau, 1755 & 1758",Estimate,"USD 1,500 - USD 2,500",Price Realised,"USD 3,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
6,LOT 7Closed ,Aristotle's works in Latin,"Giunta edition, 1560",Estimate,"USD 3,000 - USD 4,000",Price Realised,"USD 6,875",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
7,LOT 8Closed ,Anthology of French poetry,"Bound for the Duchesse de Berry, 1824",Estimate,"USD 8,000 - USD 12,000",Price Realised,"USD 5,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
8,LOT 9Closed ,L'Art decoratif de Bakst,"Alexandre & Cocteau, 1913",Estimate,"USD 2,000 - USD 3,000",Price Realised,"USD 6,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
9,LOT 11Closed ,Balocchi's La Primavera Felice,"Bound for the Duchesse de Berry, 1816",Estimate,"USD 1,000 - USD 1,500",Price Realised,"USD 1,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
10,LOT 12Closed ,Pansies,"Barillet & Lesemann, 1869",Estimate,"USD 1,000 - USD 1,500",Price Realised,USD 750,Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
11,LOT 13Closed ,Admiranda Romanarum antiquitatum,"Bartoli, 1693",Estimate,"USD 3,000 - USD 4,000",Price Realised,"USD 2,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
12,LOT 14Closed ,Lansdown Tower,"Beckford & Maddox, 1844",Estimate,"USD 1,200 - USD 1,800",Price Realised,"USD 4,375",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
13,LOT 15Closed ,Petit Blondel,"Paris, 1771-77",Estimate,"USD 1,000 - USD 1,500",Price Realised,"USD 4,000",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
14,LOT 16Closed ,Book of Hours on vellum,"Northern France, 15th century",Estimate,"USD 8,000 - USD 12,000",Price Realised,"USD 13,750",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
15,LOT 17Closed ,Watercolors of flowers and plants,"Bound manuscript, c.1850",Estimate,"USD 2,000 - USD 3,000",Price Realised,"USD 2,500",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
16,LOT 18Closed ,Treatise on Miniature Painting,"C. Boutet, 1696",Estimate,"USD 800 - USD 1,200",Price Realised,"USD 1,250",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
17,LOT 19Closed ,Natural history drawing manuals,"G. Brookshaw, 1819",Estimate,"USD 3,000 - USD 4,000",Price Realised,"USD 2,500",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
18,LOT 20Closed ,A French aristocratic woman's library,"Manuscript catalogue, 1786",Estimate,"USD 2,000 - USD 3,000",Price Realised,"USD 7,500",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
19,LOT 21Closed ,Histoire amoureuse des Gaules,"Bussy-Rabutin, 1665",Estimate,"USD 1,200 - USD 1,800",Price Realised,"USD 1,875",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
20,LOT 23Closed ,Cosway Bindings,Dickens and Watson,Estimate,"USD 5,000 - USD 8,000",Price Realised,"USD 6,000",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
21,LOT 24Closed ,Le Musée français,"Croze-Magnan, 1803-1809",Estimate,"USD 3,000 - USD 4,000",Price Realised,"USD 8,750",Selections from the Library of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue,New York,14 Jan - 29 Jan 2021 | Online 19706
